Date,Price,Open,High,Low,per_change
10-May-17,1.0868,1.0874,1.09,1.0853,-0.0006
11-May-17,1.0861,1.0869,1.0894,1.0838,-0.0006
12-May-17,1.0931,1.0863,1.0937,1.0857,0.0064
15-May-17,1.0975,1.0926,1.0991,1.0922,0.004
16-May-17,1.1082,1.0976,1.1098,1.0972,0.0097
17-May-17,1.1159,1.1083,1.1163,1.1079,0.0069
18-May-17,1.1103,1.116,1.1173,1.1075,-0.005
19-May-17,1.1207,1.1103,1.1214,1.1097,0.0094
22-May-17,1.1238,1.1202,1.1265,1.1162,0.0028
23-May-17,1.1183,1.1237,1.1268,1.1174,-0.0049
24-May-17,1.1219,1.1184,1.1222,1.1169,0.0032
25-May-17,1.1211,1.1219,1.1252,1.1194,-0.0007
26-May-17,1.1183,1.1211,1.1235,1.1159,-0.0025
29-May-17,1.1165,1.1179,1.1192,1.116,-0.0016
30-May-17,1.1185,1.1165,1.1207,1.1111,0.0018
31-May-17,1.1243,1.1186,1.1255,1.1165,0.0052
1-Jun-17,1.1213,1.1242,1.1258,1.1203,-0.0027
2-Jun-17,1.1282,1.1213,1.1287,1.1205,0.0062
5-Jun-17,1.1255,1.128,1.1285,1.1236,-0.0024
6-Jun-17,1.1278,1.1254,1.1285,1.124,0.002
7-Jun-17,1.1257,1.1277,1.1284,1.1205,-0.0019
8-Jun-17,1.1214,1.1257,1.127,1.1195,-0.0038
9-Jun-17,1.1196,1.1217,1.124,1.1168,-0.0016
12-Jun-17,1.1203,1.1196,1.1235,1.1193,0.0006
13-Jun-17,1.1216,1.1203,1.1225,1.1184,0.0012
14-Jun-17,1.1218,1.121,1.1296,1.1191,0.0002
15-Jun-17,1.1145,1.1219,1.1231,1.1132,-0.0065
16-Jun-17,1.1198,1.1142,1.1201,1.1138,0.0048
19-Jun-17,1.1148,1.1199,1.1214,1.1141,-0.0045
20-Jun-17,1.1135,1.1147,1.1165,1.1118,-0.0012
21-Jun-17,1.1168,1.1133,1.1171,1.1128,0.003
22-Jun-17,1.1153,1.1167,1.1179,1.114,-0.0013
23-Jun-17,1.1194,1.1152,1.1211,1.1145,0.0037
26-Jun-17,1.1182,1.1202,1.1222,1.1173,-0.0011
27-Jun-17,1.1339,1.1183,1.1351,1.1178,0.014
28-Jun-17,1.1378,1.1339,1.1392,1.1292,0.0034
29-Jun-17,1.1441,1.1376,1.1446,1.1373,0.0055
30-Jun-17,1.1426,1.1442,1.1448,1.1393,-0.0013
3-Jul-17,1.1364,1.1422,1.1431,1.1357,-0.0054
4-Jul-17,1.1345,1.1366,1.138,1.1339,-0.0017
5-Jul-17,1.1353,1.1345,1.1369,1.1312,0.0007
6-Jul-17,1.1423,1.1351,1.1425,1.1329,0.0062
7-Jul-17,1.1401,1.1423,1.144,1.1379,-0.0019
10-Jul-17,1.14,1.1391,1.1418,1.1381,-0.0001
11-Jul-17,1.1467,1.14,1.1482,1.1383,0.0059
12-Jul-17,1.1412,1.1467,1.1491,1.1392,-0.0048
13-Jul-17,1.1399,1.1413,1.1459,1.1373,-0.0011
14-Jul-17,1.1469,1.14,1.1473,1.1392,0.0061
17-Jul-17,1.1479,1.1462,1.1487,1.1434,0.0009
18-Jul-17,1.1555,1.148,1.1585,1.1473,0.0066
19-Jul-17,1.1516,1.1554,1.1559,1.1509,-0.0034
20-Jul-17,1.1631,1.1513,1.1657,1.1479,0.01
21-Jul-17,1.1663,1.1634,1.1684,1.162,0.0028
24-Jul-17,1.1642,1.1662,1.1688,1.1628,-0.0018
25-Jul-17,1.1652,1.164,1.1712,1.163,0.0009
26-Jul-17,1.1734,1.1648,1.1741,1.1613,0.007
27-Jul-17,1.1677,1.1734,1.1777,1.1649,-0.0049
28-Jul-17,1.1752,1.1677,1.1765,1.1671,0.0064
31-Jul-17,1.1842,1.1737,1.1847,1.1723,0.0077
1-Aug-17,1.1802,1.1841,1.1845,1.1784,-0.0034
2-Aug-17,1.1856,1.1802,1.1911,1.1794,0.0046
3-Aug-17,1.187,1.1856,1.1894,1.1831,0.0012
4-Aug-17,1.1772,1.1871,1.1893,1.1731,-0.0083
7-Aug-17,1.1796,1.1768,1.1816,1.1767,0.002
8-Aug-17,1.175,1.1794,1.1825,1.1714,-0.0039
9-Aug-17,1.1759,1.1752,1.1765,1.1689,0.0008
10-Aug-17,1.1772,1.1759,1.1786,1.1704,0.0011
11-Aug-17,1.1821,1.1771,1.1846,1.1747,0.0042
14-Aug-17,1.178,1.1806,1.184,1.177,-0.0035
15-Aug-17,1.1735,1.178,1.1794,1.1688,-0.0038
16-Aug-17,1.177,1.1734,1.178,1.1682,0.003
17-Aug-17,1.1724,1.1767,1.179,1.1662,-0.0039
18-Aug-17,1.1762,1.1723,1.1775,1.1707,0.0032
21-Aug-17,1.1816,1.175,1.183,1.1731,0.0046
22-Aug-17,1.1762,1.1815,1.1826,1.1745,-0.0046
23-Aug-17,1.1807,1.1763,1.1825,1.1741,0.0038
24-Aug-17,1.1799,1.1807,1.1821,1.1784,-0.0007
25-Aug-17,1.1926,1.1799,1.1942,1.1773,0.0108
28-Aug-17,1.1979,1.1926,1.1985,1.1917,0.0044
29-Aug-17,1.1972,1.1978,1.2069,1.1945,-0.0006
30-Aug-17,1.1883,1.1974,1.1986,1.1881,-0.0074
31-Aug-17,1.191,1.1884,1.1914,1.1823,0.0023
1-Sep-17,1.1859,1.1911,1.1981,1.185,-0.0043
4-Sep-17,1.1896,1.1858,1.1923,1.1853,0.0031
5-Sep-17,1.1914,1.1896,1.1941,1.1868,0.0015
6-Sep-17,1.1917,1.1914,1.1951,1.1903,0.0003
7-Sep-17,1.2023,1.1917,1.2061,1.1914,0.0089
8-Sep-17,1.2035,1.2024,1.2094,1.2016,0.001
11-Sep-17,1.1953,1.2041,1.2041,1.1948,-0.0068
12-Sep-17,1.1967,1.1953,1.198,1.1926,0.0012
13-Sep-17,1.1886,1.1967,1.1995,1.1872,-0.0068
14-Sep-17,1.1919,1.1884,1.1922,1.1837,0.0028
15-Sep-17,1.1943,1.1919,1.1988,1.1901,0.002
18-Sep-17,1.1954,1.1949,1.1971,1.1915,0.0009
19-Sep-17,1.1994,1.1955,1.2008,1.195,0.0033
20-Sep-17,1.1893,1.1994,1.2033,1.1862,-0.0084
21-Sep-17,1.1941,1.1894,1.1955,1.1866,0.004
22-Sep-17,1.1954,1.1942,1.2006,1.1937,0.0011
25-Sep-17,1.1848,1.1953,1.1962,1.1833,-0.0089
26-Sep-17,1.1793,1.1848,1.1863,1.1758,-0.0046
27-Sep-17,1.1744,1.1792,1.1797,1.1717,-0.0042
28-Sep-17,1.1786,1.1746,1.1805,1.1721,0.0036
29-Sep-17,1.1814,1.1787,1.1834,1.1773,0.0024
2-Oct-17,1.1732,1.1818,1.1818,1.173,-0.0069
3-Oct-17,1.1744,1.1733,1.1775,1.1696,0.001
4-Oct-17,1.176,1.1743,1.1788,1.1733,0.0014
5-Oct-17,1.1711,1.1758,1.178,1.1698,-0.0042
6-Oct-17,1.1734,1.171,1.1739,1.1668,0.002
9-Oct-17,1.1741,1.1728,1.1758,1.1718,0.0006
10-Oct-17,1.1806,1.1739,1.1825,1.1738,0.0055
11-Oct-17,1.1859,1.1808,1.1871,1.1795,0.0045
12-Oct-17,1.183,1.1862,1.1882,1.1826,-0.0024
13-Oct-17,1.1823,1.1829,1.1875,1.1804,-0.0006
16-Oct-17,1.1797,1.1825,1.1826,1.1781,-0.0022
17-Oct-17,1.1766,1.1797,1.1801,1.1735,-0.0026
18-Oct-17,1.1787,1.1764,1.1805,1.1729,0.0018
19-Oct-17,1.1852,1.1788,1.186,1.1768,0.0055
20-Oct-17,1.1785,1.1853,1.1859,1.1763,-0.0057
23-Oct-17,1.1749,1.1773,1.1779,1.1725,-0.0031
24-Oct-17,1.1761,1.1749,1.1794,1.1743,0.001
25-Oct-17,1.1813,1.176,1.1819,1.1752,0.0044
26-Oct-17,1.165,1.1811,1.1837,1.164,-0.0138
27-Oct-17,1.161,1.165,1.1659,1.1575,-0.0034
30-Oct-17,1.1651,1.1603,1.166,1.1594,0.0035
31-Oct-17,1.1646,1.1651,1.1663,1.1625,-0.0004
1-Nov-17,1.1619,1.1646,1.1659,1.1607,-0.0023
2-Nov-17,1.1658,1.1619,1.1689,1.1613,0.0034
3-Nov-17,1.1609,1.166,1.1692,1.1599,-0.0042
6-Nov-17,1.161,1.1609,1.1625,1.1579,0.0001
7-Nov-17,1.1586,1.1609,1.1618,1.1554,-0.0021
8-Nov-17,1.1595,1.1586,1.1612,1.1579,0.0008
9-Nov-17,1.1642,1.1596,1.1657,1.1586,0.0041
10-Nov-17,1.1665,1.1642,1.168,1.1623,0.002
13-Nov-17,1.1667,1.1666,1.1677,1.1638,0.0002
14-Nov-17,1.1798,1.1667,1.1807,1.166,0.0112
15-Nov-17,1.1792,1.1797,1.1861,1.1784,-0.0005
16-Nov-17,1.177,1.1792,1.1802,1.1756,-0.0019
17-Nov-17,1.1795,1.1771,1.1823,1.1766,0.0021
20-Nov-17,1.1732,1.1789,1.1808,1.1721,-0.0053
21-Nov-17,1.1738,1.1732,1.1759,1.1713,0.0005
22-Nov-17,1.1822,1.1738,1.1829,1.1733,0.0072
23-Nov-17,1.1851,1.1822,1.1857,1.1812,0.0025
24-Nov-17,1.193,1.185,1.1945,1.1836,0.0067
27-Nov-17,1.1898,1.1933,1.1962,1.1896,-0.0027
28-Nov-17,1.1841,1.1898,1.1921,1.1827,-0.0048
29-Nov-17,1.1847,1.1841,1.1884,1.1817,0.0005
30-Nov-17,1.1904,1.1847,1.1933,1.1809,0.0048
1-Dec-17,1.1891,1.1904,1.1942,1.1851,-0.0011
4-Dec-17,1.1866,1.1882,1.189,1.183,-0.0021
5-Dec-17,1.1826,1.1866,1.1879,1.1801,-0.0034
6-Dec-17,1.1796,1.1825,1.1849,1.178,-0.0025
7-Dec-17,1.1773,1.1796,1.1816,1.1772,-0.0019
8-Dec-17,1.1764,1.1771,1.1778,1.1728,-0.0008
11-Dec-17,1.1768,1.1767,1.1812,1.1762,0.0003
12-Dec-17,1.1742,1.177,1.1794,1.1718,-0.0022
13-Dec-17,1.1826,1.1743,1.1832,1.1729,0.0072
14-Dec-17,1.1778,1.1826,1.1863,1.177,-0.0041
15-Dec-17,1.1754,1.1778,1.1814,1.1751,-0.002
18-Dec-17,1.1782,1.1753,1.1834,1.1737,0.0024
19-Dec-17,1.184,1.1782,1.1851,1.1777,0.0049
20-Dec-17,1.1871,1.184,1.1903,1.1829,0.0026
21-Dec-17,1.1873,1.1871,1.1889,1.1848,0.0002
22-Dec-17,1.1859,1.1874,1.1878,1.1817,-0.0012
25-Dec-17,1.1869,1.185,1.1882,1.1842,0.0008
